SHHADID,SPANEL,SSUID,SWAVE,PNUM,MONTHCODE,THTOTINC,unique_ID
11,2014,418688660,1,101,12,8388,418688660_101
11,2014,418688660,1,102,12,8388,418688660_102
11,2014,418688660,1,103,12,8388,418688660_103
11,2014,418688831,1,101,12,11697,418688831_101
11,2014,418688831,1,102,12,11697,418688831_102
11,2014,418688831,1,103,12,11697,418688831_103
11,2014,418688944,1,101,12,3083,418688944_101
11,2014,418689173,1,101,12,11929,418689173_101
11,2014,418689243,1,101,12,2047,418689243_101
11,2014,418689494,1,101,12,15163,418689494_101
11,2014,418689494,1,102,12,15163,418689494_102
11,2014,418689494,1,103,12,15163,418689494_103
11,2014,418689553,1,101,12,1130,418689553_101
11,2014,418689655,1,101,12,4400,418689655_101
11,2014,418689655,1,102,12,4400,418689655_102
11,2014,418689655,1,103,12,4400,418689655_103
11,2014,418755086,1,101,12,2800,418755086_101
11,2014,418755283,1,101,12,5425,418755283_101
11,2014,418755283,1,102,12,5425,418755283_102
11,2014,418755291,1,101,12,1190,418755291_101
11,2014,418755903,1,101,12,2416,418755903_101
11,2014,418755903,1,102,12,2416,418755903_102
11,2014,418755903,1,103,12,2416,418755903_103
11,2014,418755905,1,101,12,3400,418755905_101
11,2014,418755905,1,102,12,3400,418755905_102
11,2014,418755946,1,101,12,2440,418755946_101
11,2014,418755946,1,102,12,2440,418755946_102
11,2014,418755946,1,103,12,2440,418755946_103
11,2014,418755946,1,104,12,2440,418755946_104
11,2014,418756162,1,101,12,1557,418756162_101
11,2014,418756162,1,102,12,1557,418756162_102
11,2014,418756431,1,101,12,3518,418756431_101
11,2014,418756431,1,102,12,3518,418756431_102
11,2014,418756458,1,101,12,1913,418756458_101
11,2014,418756705,1,101,12,2154,418756705_101
11,2014,418756773,1,101,12,2777,418756773_101
11,2014,418756932,1,101,12,2303,418756932_101
11,2014,418756994,1,101,12,1771,418756994_101
11,2014,418756994,1,102,12,1771,418756994_102
11,2014,418756994,1,103,12,1771,418756994_103
11,2014,418783162,1,101,12,3098,418783162_101
11,2014,418783458,1,101,12,4994,418783458_101
11,2014,418783458,1,102,12,4994,418783458_102
11,2014,418783549,1,101,12,3054,418783549_101
11,2014,418783705,1,101,12,4992,418783705_101
11,2014,418783705,1,102,12,4992,418783705_102
11,2014,418783932,1,101,12,664,418783932_101
11,2014,418809086,1,101,12,11883,418809086_101
11,2014,418809086,1,102,12,11883,418809086_102
11,2014,418809291,1,101,12,3831,418809291_101
11,2014,418809291,1,102,12,3831,418809291_102
11,2014,418809291,1,103,12,3831,418809291_103
11,2014,418809291,1,104,12,3831,418809291_104
11,2014,418809449,1,101,12,2749,418809449_101
11,2014,418809449,1,102,12,2749,418809449_102
11,2014,418809852,1,101,12,25067,418809852_101
11,2014,418809852,1,102,12,25067,418809852_102
11,2014,418809946,1,101,12,5000,418809946_101
11,2014,418809946,1,102,12,5000,418809946_102
11,2014,418809946,1,103,12,5000,418809946_103
11,2014,418809946,1,104,12,5000,418809946_104
11,2014,418816458,1,101,12,16450,418816458_101
11,2014,418816458,1,102,12,16450,418816458_102
11,2014,418816458,1,103,12,16450,418816458_103
11,2014,418816458,1,104,12,16450,418816458_104
11,2014,418816994,1,101,12,3190,418816994_101
11,2014,418816994,1,102,12,3190,418816994_102
11,2014,418828887,1,101,12,200,418828887_101
11,2014,418828887,1,102,12,200,418828887_102
11,2014,418828887,1,103,12,200,418828887_103
11,2014,418828887,1,104,12,200,418828887_104
11,2014,418828887,1,105,12,200,418828887_105
11,2014,418847138,1,101,12,2996,418847138_101
11,2014,418847138,1,102,12,2996,418847138_102
11,2014,418847138,1,103,12,2996,418847138_103
11,2014,418847509,1,101,12,2533,418847509_101
11,2014,418847509,1,102,12,2533,418847509_102
11,2014,418847509,1,103,12,2533,418847509_103
11,2014,418847509,1,104,12,2533,418847509_104
11,2014,418847549,1,101,12,13192,418847549_101
11,2014,418847554,1,101,12,1982,418847554_101
11,2014,418847554,1,102,12,1982,418847554_102
11,2014,418847554,1,103,12,1982,418847554_103
11,2014,418847584,1,101,12,7481,418847584_101
11,2014,418847584,1,102,12,7481,418847584_102
11,2014,418847705,1,101,12,5113,418847705_101
11,2014,418847705,1,102,12,5113,418847705_102
11,2014,418847705,1,103,12,5113,418847705_103
11,2014,418847773,1,101,12,28305,418847773_101
11,2014,418847804,1,101,12,2989,418847804_101
11,2014,418847804,1,102,12,2989,418847804_102
11,2014,418847804,1,103,12,2989,418847804_103
11,2014,418847844,1,101,12,1200,418847844_101
11,2014,418847844,1,102,12,1200,418847844_102
11,2014,418847844,1,103,12,1200,418847844_103
11,2014,418847844,1,104,12,1200,418847844_104
11,2014,418892932,1,101,12,1180,418892932_101
11,2014,418892932,1,102,12,1180,418892932_102
11,2014,418892932,1,103,12,1180,418892932_103
11,2014,418892932,1,104,12,1180,418892932_104
11,2014,418925197,1,101,12,8442,418925197_101
11,2014,418925197,1,102,12,8442,418925197_102
11,2014,418925294,1,101,12,2200,418925294_101
11,2014,418925294,1,102,12,2200,418925294_102
11,2014,418925630,1,101,12,2385,418925630_101
11,2014,418925630,1,102,12,2385,418925630_102
11,2014,418925660,1,101,12,22681,418925660_101
11,2014,418925660,1,102,12,22681,418925660_102
