SHHADID,SPANEL,SSUID,SWAVE,PNUM,MONTHCODE,THTOTINC,unique_ID_2
11,2014,860049040,3,101,12,2080,860049040_101
11,2014,860049040,3,102,12,2080,860049040_102
11,2014,860049040,3,103,12,2080,860049040_103
11,2014,860049162,3,101,12,2110,860049162_101
11,2014,860049162,3,102,12,2110,860049162_102
11,2014,860049162,3,103,12,2110,860049162_103
11,2014,860049162,3,104,12,2110,860049162_104
11,2014,860049196,3,101,12,2073,860049196_101
11,2014,860049196,3,102,12,2073,860049196_102
11,2014,860049420,3,101,12,803,860049420_101
11,2014,860049458,3,101,12,4448,860049458_101
11,2014,860049458,3,102,12,4448,860049458_102
11,2014,860049584,3,101,12,2640,860049584_101
11,2014,860049584,3,102,12,2640,860049584_102
11,2014,860049584,3,103,12,2640,860049584_103
11,2014,860049584,3,104,12,2640,860049584_104
11,2014,860049584,3,201,12,2640,860049584_201
11,2014,860049705,3,101,12,2428,860049705_101
11,2014,860049773,3,101,12,2266,860049773_101
11,2014,860049773,3,102,12,2266,860049773_102
11,2014,860049804,3,101,12,8601,860049804_101
11,2014,860049804,3,102,12,8601,860049804_102
11,2014,860049804,3,103,12,8601,860049804_103
11,2014,860057566,3,101,12,10495,860057566_101
11,2014,860057566,3,102,12,10495,860057566_102
11,2014,860057632,3,101,12,5508,860057632_101
11,2014,860057632,3,102,12,5508,860057632_102
11,2014,860057632,3,103,12,5508,860057632_103
21,2014,860068259,3,101,12,3262,860068259_101
21,2014,860068944,3,101,12,5463,860068944_101
21,2014,860068944,3,102,12,5463,860068944_102
21,2014,860068944,3,103,12,5463,860068944_103
21,2014,860068944,3,301,12,5463,860068944_301
11,2014,860086373,3,101,12,6850,860086373_101
11,2014,860086373,3,102,12,6850,860086373_102
11,2014,860086631,3,101,12,1520,860086631_101
11,2014,860092054,3,101,12,19740,860092054_101
11,2014,860092054,3,102,12,19740,860092054_102
11,2014,860092054,3,103,12,19740,860092054_103
11,2014,860092080,3,101,12,478,860092080_101
11,2014,860092276,3,101,12,8455,860092276_101
11,2014,860092276,3,102,12,8455,860092276_102
11,2014,860092276,3,103,12,8455,860092276_103
11,2014,860092392,3,101,12,5528,860092392_101
11,2014,860092392,3,102,12,5528,860092392_102
11,2014,860114058,3,101,12,4216,860114058_101
11,2014,860114284,3,101,12,3685,860114284_101
11,2014,860121267,3,101,12,4006,860121267_101
11,2014,860121547,3,101,12,0,860121547_101
11,2014,860121547,3,102,12,0,860121547_102
11,2014,860121568,3,101,12,8451,860121568_101
11,2014,860121568,3,102,12,8451,860121568_102
11,2014,860121967,3,101,12,5419,860121967_101
31,2014,860135267,3,104,12,738,860135267_104
31,2014,860135267,3,301,12,738,860135267_301
31,2014,860135267,3,302,12,738,860135267_302
11,2014,860135730,3,101,12,9158,860135730_101
11,2014,860135730,3,102,12,9158,860135730_102
11,2014,860135919,3,101,12,25413,860135919_101
11,2014,860135919,3,102,12,25413,860135919_102
11,2014,860135919,3,103,12,25413,860135919_103
11,2014,860135919,3,104,12,25413,860135919_104
11,2014,860135972,3,101,12,16996,860135972_101
11,2014,860135972,3,102,12,16996,860135972_102
11,2014,860135972,3,103,12,16996,860135972_103
11,2014,860135972,3,201,12,16996,860135972_201
11,2014,860136009,3,101,12,4159,860136009_101
11,2014,860136009,3,102,12,4159,860136009_102
11,2014,860136054,3,101,12,14822,860136054_101
11,2014,860136054,3,102,12,14822,860136054_102
11,2014,860136054,3,201,12,14822,860136054_201
11,2014,860136054,3,202,12,14822,860136054_202
11,2014,860136099,3,101,12,5281,860136099_101
11,2014,860136099,3,102,12,5281,860136099_102
11,2014,860136276,3,101,12,7036,860136276_101
11,2014,860136276,3,102,12,7036,860136276_102
11,2014,860136480,3,101,12,23971,860136480_101
11,2014,860136480,3,102,12,23971,860136480_102
11,2014,860136480,3,103,12,23971,860136480_103
11,2014,860136535,3,101,12,12339,860136535_101
11,2014,860136535,3,102,12,12339,860136535_102
11,2014,860136535,3,103,12,12339,860136535_103
11,2014,860136535,3,104,12,12339,860136535_104
11,2014,860136535,3,105,12,12339,860136535_105
11,2014,860136599,3,101,12,6457,860136599_101
11,2014,860136599,3,102,12,6457,860136599_102
11,2014,860136599,3,103,12,6457,860136599_103
11,2014,860136599,3,201,12,6457,860136599_201
11,2014,860136647,3,101,12,23945,860136647_101
11,2014,860136647,3,102,12,23945,860136647_102
11,2014,860136840,3,101,12,2106,860136840_101
11,2014,860136840,3,102,12,2106,860136840_102
11,2014,860136954,3,101,12,9211,860136954_101
11,2014,860172619,3,101,12,1455,860172619_101
11,2014,860172619,3,102,12,1455,860172619_102
11,2014,860172619,3,103,12,1455,860172619_103
11,2014,860172619,3,104,12,1455,860172619_104
11,2014,860172619,3,105,12,1455,860172619_105
11,2014,860172619,3,106,12,1455,860172619_106
11,2014,860172619,3,107,12,1455,860172619_107
11,2014,860172632,3,101,12,15025,860172632_101
11,2014,860172632,3,102,12,15025,860172632_102
11,2014,860172632,3,103,12,15025,860172632_103
11,2014,860172801,3,101,12,7848,860172801_101
11,2014,860172801,3,102,12,7848,860172801_102
11,2014,860172801,3,103,12,7848,860172801_103
11,2014,860209071,3,101,12,6475,860209071_101
11,2014,860209071,3,102,12,6475,860209071_102
11,2014,860209233,3,101,12,12777,860209233_101
11,2014,860209233,3,102,12,12777,860209233_102
11,2014,860209247,3,101,12,31946,860209247_101
11,2014,860209247,3,102,12,31946,860209247_102
11,2014,860209444,3,101,12,1440,860209444_101
11,2014,860209619,3,101,12,7175,860209619_101
11,2014,860209619,3,102,12,7175,860209619_102
11,2014,860209646,3,101,12,6169,860209646_101
11,2014,860209646,3,301,12,6169,860209646_301
11,2014,860209646,3,302,12,6169,860209646_302
11,2014,860209832,3,101,12,6544,860209832_101
